ID,NOMBRE,SEDE,PROG,NIVEL,Estatus,% BECA,CARGOS,ECA,DEPP,AJUSTADO,PAGADO,SALDO,SALDO VENCIDO,NCV,C,B,A,P,S,%,C,B,A,P,S,%,C,B,A,P,S,%,C,B,A,P,S,%
35,Nombre35,CAM,LIC-DERE-18,LI,AS,303,13979.78,0,0,13979.78,9702.78,4277,0,0,3682,1288.7,2393.3,2393.3,0,100,3290,1151.5,2138.5,2138.5,0,100,3290,1151.5,2138.5,0,2138.5,0,3290,1151.5,2138.5,0,2138.5,0
36,Nombre36,CAM,LIC-CTCO-15,LI,AS,,14303.9,0,0,14303.9,3798,10505.9,3727.9,3,3798,0,3798,3797.66,0.34,99.99,3389,0,3389,0.34,3388.66,0.01,3389,0,3389,0,3389,0,3389,0,3389,0,3389,0
37,Nombre37,CAM,LIC-DAEM-11,LI,EG,,6111,0,0,6111,3056,3055.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,Nombre38,CAM,LIC-FICO-10,LI,AS,,9324.6,0,0,9324.6,4005,5319.6,1887.6,3,4005,0,4005,4004.52,0.48,99.98,1716,0,1716,0.48,1715.52,0.0279,1716,0,1716,0,1716,0,1716,0,1716,0,1716,0
39,Nombre39,CAM,LIC-EJCO-17,LI,AS,,9732.52,0,0,9732.52,4968.52,4764,0.5,1,2382,0,2382,2381.5,0.5,99.97,2382,0,2382,2382,0,100,2382,0,2382,0.5,2381.5,0.0209,2382,0,2382,0,2382,0
40,Nombre40,CAM,LIC-EJDE-12,LI,AS,100,8126.5,0,175.73,7950.77,7951.59,0,0,0,2085,0,2085,2085,0,100,2002,700.7,1301.3,1301.3,0,100,2002,700.7,1301.3,1301.3,0,100,2002,700.7,1301.3,1301.3,0,100
41,Nombre41,CAM,LIC-EJDE-17,LI,AS,401,9156,0,0,9156,5387.6,3768.4,0,0,2217,332.55,1884.45,1884.45,0,100,2217,332.55,1884.45,1884.45,0,100,2217,332.55,1884.45,0.5,1883.95,0.0265,2217,332.55,1884.45,0,1884.45,0
42,Nombre42,CAM,LIC-PSIO-15,LI,AS,600,16965,0,0,16965,16965.9,0,0,0,3798,227.88,3570.12,3570.12,0,100,3389,203.34,3185.66,3185.66,0,100,3389,203.34,3185.66,3185.66,0,100,3389,203.34,3185.66,3185.66,0,100
43,Nombre43,CAM,LIC-DAEM-15,LI,AS,,16965,0,0,16965,8687,8278,0.34,1,3798,0,3798,3797.66,0.34,99.99,3389,0,3389,3389,0,100,3389,0,3389,0.34,3388.66,0.01,3389,0,3389,0,3389,0
44,Nombre44,CAM,LIC-COFI-15,LI,AS,,17116,0,610.07,16505.93,16507.48,0,0,0,3798,0,3798,3798,0,100,3389,0,3389,3389,0,100,3389,0,3389,3389,0,100,3389,0,3389,3389,0,100
45,Nombre45,CAM,LIC-PSIO-15,LI,AS,600,16965,0,0,16965,8343.9,8621.1,750,1,3798,227.88,3570.12,3570.12,0,100,3389,203.34,3185.66,3185.66,0,100,3389,203.34,3185.66,0.22,3185.44,0.0069,3389,203.34,3185.66,0,3185.66,0
46,Nombre46,CAM,LIC-ITIC-15,LI,AS,,13965,0,0,13965,7187,6778,0.34,1,3798,0,3798,3797.66,0.34,99.99,3389,0,3389,3389,0,100,3389,0,3389,0.34,3388.66,0.01,3389,0,3389,0,3389,0
47,Nombre47,CAM,LIC-ADTU-10,LI,AS,,19367,0,0,19367,9357,10010,0,0,4005,0,4005,4005,0,100,5005,0,5005,5005,0,100,5005,0,5005,0,5005,0,5005,0,5005,0,5005,0
48,Nombre48,CAM,LIC-COFI-15,LI,AS,,16965,0,0,16965,8687,8278,0.34,1,3798,0,3798,3797.66,0.34,99.99,3389,0,3389,3389,0,100,3389,0,3389,0.34,3388.66,0.01,3389,0,3389,0,3389,0
49,Nombre49,CAM,LIC-DAEM-15,LI,AS,600,16965,0,573.46,16391.54,14893.65,1500,0,0,3798,227.88,3570.12,3570.12,0,100,3389,203.34,3185.66,3185.66,0,100,3389,203.34,3185.66,3185.66,0,100,3389,203.34,3185.66,3185.66,0,100
50,Nombre50,CAM,LIC-EJME-17,LI,AS,,12528,0,0,12528,4764,7764,0.5,1,2382,0,2382,2381.5,0.5,99.97,2382,0,2382,2382,0,100,2382,0,2382,0.5,2381.5,0.0209,2382,0,2382,0,2382,0
51,Nombre51,CAM,LIC-EJAD-17,LI,AS,405,12528.1,0,0,12528.1,7896.3,4631.8,0.6,2,2382,1191,1191,1191,0,100,2382,1191,1191,1190.5,0.5,99.95,2382,1191,1191,0.8,1190.2,0.0671,2382,1191,1191,0,1191,0
52,Nombre52,CAM,LIC-DERE-15,LI,AS,,16965,0,0,16965,7937.4,9027.6,750.34,2,3798,0,3798,3797.66,0.34,99.99,3389,0,3389,3389,0,100,3389,0,3389,0.74,3388.26,0.0218,3389,0,3389,0,3389,0
53,Nombre53,CAM,LIC-COFI-15,LI,AS,,17603.9,0,0,17603.9,4848,12755.9,4477.9,4,3798,0,3798,3797.66,0.34,99.99,3389,0,3389,0.34,3388.66,0.01,3389,0,3389,0,3389,0,3389,0,3389,0,3389,0
54,Nombre54,CAM,LIC-EJDE-17,LI,AS,,9528,0,0,9528,4764,4764,0.5,1,2382,0,2382,2381.5,0.5,99.97,2382,0,2382,2382,0,100,2382,0,2382,0.5,2381.5,0.0209,2382,0,2382,0,2382,0
55,Nombre55,CAM,LIC-ADME-15,LI,AS,,17238.67,0,0,17238.67,8210.67,9028,750.34,2,3798,0,3798,3797.66,0.34,99.99,3389,0,3389,3389,0,100,3389,0,3389,0.34,3388.66,0.01,3389,0,3389,0,3389,0
56,Nombre56,CAM,LIC-EJCO-17,LI,AS,,9766.2,0,0,9766.2,2382,7384.2,2620.2,3,2382,0,2382,2381.5,0.5,99.97,2382,0,2382,0.5,2381.5,0.0209,2382,0,2382,0,2382,0,2382,0,2382,0,2382,0
57,Nombre57,CAM,LIC-COFI-15,LI,AS,,21033,0,0,21033,10044,10989,0.34,1,3798,0,3798,3797.66,0.34,99.99,4745,0,4745,4745,0,100,4745,0,4745,1.34,4743.66,0.0282,4745,0,4745,0,4745,0
58,Nombre58,CAM,LIC-DERE-15,LI,AS,,16965,0,0,16965,8687,8278,0.34,1,3798,0,3798,3797.66,0.34,99.99,3389,0,3389,3389,0,100,3389,0,3389,0.34,3388.66,0.01,3389,0,3389,0,3389,0
59,Nombre59,CAM,LIC-ADME-15,LI,AS,,17352.3,0,610.07,16742.23,14492.66,2250.34,750.34,2,3798,0,3798,3797.66,0.34,99.99,3389,0,3389,3389,0,100,3389,0,3389,3389,0,100,3389,0,3389,3389,0,100
60,Nombre60,CAM,LIC-CTCO-15,LI,AS,,17303.9,0,0,17303.9,4548,12755.9,4477.9,4,3798,0,3798,3797.66,0.34,99.99,3389,0,3389,0.34,3388.66,0.01,3389,0,3389,0,3389,0,3389,0,3389,0,3389,0
61,Nombre61,CAM,LIC-EJDE-17,LI,AS,,12528,0,0,12528,6264.01,6263.99,0,0,2382,0,2382,2382,0,100,2382,0,2382,2382,0,100,2382,0,2382,0.01,2381.99,0.0004,2382,0,2382,0,2382,0
62,Nombre62,CAM,LIC-EJCO-17,LI,AS,301,9816,0,364.37,9451.63,8974.81,476.82,0,0,2382,238.2,2143.8,2143.8,0,100,2382,238.2,2143.8,2143.8,0,100,2382,238.2,2143.8,2143.8,0,100,2382,238.2,2143.8,1666.98,476.82,77.75
